id,file,scene,speaker,cut,video_cut,camera,outfit,aspect,desc,est_sec,text,tts_reading
S01_00_akari,clips/S01_00_akari.mp4,S01 HOOK,燈,akari_A,AKARI_VIDEO_A,AKARI_CAMERA_01,AKARI_OUTFIT_01,16:9,正面胸上で話す基本カット,2.4,こんにちは、燈です。,こんにちは、あかりです。
S01_01_akari,clips/S01_01_akari.mp4,S01 HOOK,燈,akari_A,AKARI_VIDEO_A,AKARI_CAMERA_01,AKARI_OUTFIT_01,16:9,正面胸上で話す基本カット,4.2,今日、大家さんにとってかなり重要な変化が始まりました。,今日、おおやさんにとってかなり重要な変化が始まりました。
S01_03_akari,clips/S01_03_akari.mp4,S01 HOOK,燈,akari_A,AKARI_VIDEO_A,AKARI_CAMERA_01,AKARI_OUTFIT_01,16:9,正面胸上で話す基本カット,3.9,では、不動産投資はこれから厳しくなるのでしょうか。,では、不動産投資はこれから厳しくなるのでしょうか。
S01_04_akari,clips/S01_04_akari.mp4,S01 HOOK,燈,akari_A,AKARI_VIDEO_A,AKARI_CAMERA_01,AKARI_OUTFIT_01,16:9,正面胸上で話す基本カット,4.4,今日は、大家が見るべき3つの数字に絞って解説します。,今日は、おおやが見るべきみっつの数字に絞って解説します。
S03_00_akari,clips/S03_00_akari.mp4,S03 ここを勘違いしない,燈,akari_A,AKARI_VIDEO_A,AKARI_CAMERA_01,AKARI_OUTFIT_01,16:9,正面胸上で話す基本カット,3.0,ただし、ここはとても大切です。,ただし、ここはとても大切です。
S03_03_akari,clips/S03_03_akari.mp4,S03 ここを勘違いしない,燈,akari_A,AKARI_VIDEO_A,AKARI_CAMERA_01,AKARI_OUTFIT_01,16:9,正面胸上で話す基本カット,9.7,ですから大家が見るべきなのは、ニュースの金利そのものではありません。自分の借入に、いくら影響するのか。ここです。,ですからおおやが見るべきなのは、ニュースの金利そのものではありません。自分のかりいれに、いくら影響するのか。ここです。
S04_00_akari,clips/S04_00_akari.mp4,S04 見るべき数字① 年間返済額,燈,akari_C,AKARI_VIDEO_C,AKARI_CAMERA_04,AKARI_OUTFIT_01,16:9,大型モニター横で話すカット,6.3,例えば、1億円を30年間、元利均等返済で借りたケースを考えてみます。,例えば、いちおくえんをさんじゅうねん間、元利均等返済で借りたケースを考えてみます。
S04_04_akari,clips/S04_04_akari.mp4,S04 見るべき数字① 年間返済額,燈,akari_A,AKARI_VIDEO_A,AKARI_CAMERA_01,AKARI_OUTFIT_01,16:9,正面胸上で話す基本カット,6.6,大切なのは、金利が上がったというニュースではなく、自分の年間返済額がいくら増えるかです。,大切なのは、金利が上がったというニュースではなく、自分の年間返済額がいくら増えるかです。
S05_00_akari,clips/S05_00_akari.mp4,S05 見るべき数字② 返済比率,燈,akari_D,AKARI_VIDEO_D,AKARI_CAMERA_02,AKARI_OUTFIT_01,16:9,少し斜めの会話カット,2.7,2つ目は、返済比率です。,ふたつめは、返済比率です。
S05_03_akari,clips/S05_03_akari.mp4,S05 見るべき数字② 返済比率,燈,akari_A,AKARI_VIDEO_A,AKARI_CAMERA_01,AKARI_OUTFIT_01,16:9,正面胸上で話す基本カット,9.0,金利上昇と経費上昇が同時に起きたとき、物件にどれだけ余力が残っているのか。ここを確認する必要があります。,金利上昇と経費上昇が同時に起きたとき、物件にどれだけ余力が残っているのか。ここを確認する必要があります。
